Ratio O/F   ,  pc psi , Nozzle inl , Nozzle exi , rho kg/m^3,Tc K,M,gamma,k,c* m/s,Is opt s,Is vac s,Cf opt,Cf vac,c factor
2,394,9,4.73,0,2185.5735,23.1115,1.2844,1.112,1392.578,207.5918,228.6478,1.4619,1.6102,1
2,395,9,4.73,0,2185.8491,23.1124,1.2844,1.112,1392.5304,207.5916,228.6481,1.4619,1.6102,1
2,396,9,4.73,0,2186.1241,23.1134,1.2844,1.1121,1392.483,207.5914,228.6484,1.462,1.6103,1
2,397,9,4.73,0,2186.3985,23.1144,1.2844,1.1121,1392.4358,207.5912,228.6487,1.462,1.6103,1
2,398,9,4.73,0,2186.6722,23.1154,1.2844,1.1121,1392.3889,207.591,228.649,1.4621,1.6104,1
2,399,9,4.73,0,2186.9453,23.1163,1.2844,1.1121,1392.3422,207.5908,228.6494,1.4621,1.6104,1
2,400,9,4.73,0,2187.2177,23.1173,1.2844,1.1121,1392.2959,207.5906,228.6497,1.4622,1.6105,1
2,401,9,4.73,0,2187.4896,23.1182,1.2844,1.1121,1392.2497,207.5904,228.65,1.4622,1.6106,1
2,402,9,4.73,0,2187.7608,23.1192,1.2843,1.1121,1392.2038,207.5902,228.6503,1.4623,1.6106,1
2,403,9,4.73,0,2188.0314,23.1202,1.2843,1.1121,1392.1582,207.59,228.6506,1.4623,1.6107,1
2,404,9,4.73,0,2188.3014,23.1211,1.2843,1.1121,1392.1128,207.5898,228.6509,1.4624,1.6107,1
2,405,9,4.73,0,2188.5708,23.1221,1.2843,1.1121,1392.0677,207.5896,228.6512,1.4624,1.6108,1
2,406,9,4.73,0,2188.8395,23.123,1.2843,1.1121,1392.0228,207.5894,228.6515,1.4624,1.6108,1
2,407,9,4.73,0,2189.1077,23.124,1.2843,1.1122,1391.9781,207.5892,228.6519,1.4625,1.6109,1
2,408,9,4.73,0,2189.3753,23.1249,1.2843,1.1122,1391.9337,207.5891,228.6522,1.4625,1.6109,1
2,409,9,4.73,0,2189.6422,23.1259,1.2843,1.1122,1391.8895,207.5889,228.6525,1.4626,1.611,1
2,410,9,4.73,0,2189.9086,23.1268,1.2843,1.1122,1391.8456,207.5887,228.6528,1.4626,1.611,1
2,411,9,4.73,0,2190.1743,23.1278,1.2843,1.1122,1391.8019,207.5885,228.6531,1.4627,1.6111,1
2,412,9,4.73,0,2190.4395,23.1287,1.2843,1.1122,1391.7584,207.5883,228.6534,1.4627,1.6111,1
2,413,9,4.73,0,2190.7041,23.1296,1.2842,1.1122,1391.7152,207.5881,228.6537,1.4628,1.6112,1
2,414,9,4.73,0,2190.9681,23.1306,1.2842,1.1122,1391.6722,207.5879,228.654,1.4628,1.6112,1
2,415,9,4.73,0,2191.2315,23.1315,1.2842,1.1122,1391.6294,207.5877,228.6543,1.4628,1.6113,1
2,416,9,4.73,0,2191.4944,23.1325,1.2842,1.1122,1391.5869,207.5875,228.6546,1.4629,1.6114,1
2,417,9,4.73,0,2191.7566,23.1334,1.2842,1.1122,1391.5446,207.5873,228.6549,1.4629,1.6114,1
2,418,9,4.73,0,2192.0183,23.1343,1.2842,1.1123,1391.5025,207.5871,228.6553,1.463,1.6115,1
2,419,9,4.73,0,2192.2794,23.1352,1.2842,1.1123,1391.4607,207.5869,228.6556,1.463,1.6115,1
2,420,9,4.73,0,2192.5399,23.1362,1.2842,1.1123,1391.4191,207.5868,228.6559,1.4631,1.6116,1
2,421,9,4.73,0,2192.7999,23.1371,1.2842,1.1123,1391.3777,207.5866,228.6562,1.4631,1.6116,1
2,422,9,4.73,0,2193.0593,23.138,1.2842,1.1123,1391.3365,207.5864,228.6565,1.4631,1.6117,1
2,423,9,4.73,0,2193.3181,23.1389,1.2841,1.1123,1391.2956,207.5862,228.6568,1.4632,1.6117,1
2,424,9,4.73,0,2193.5764,23.1399,1.2841,1.1123,1391.2548,207.586,228.6571,1.4632,1.6118,1
2,425,9,4.73,0,2193.8341,23.1408,1.2841,1.1123,1391.2143,207.5858,228.6574,1.4633,1.6118,1
2,426,9,4.73,0,2194.0913,23.1417,1.2841,1.1123,1391.174,207.5856,228.6577,1.4633,1.6119,1
2,427,9,4.73,0,2194.3479,23.1426,1.2841,1.1123,1391.1339,207.5854,228.658,1.4634,1.6119,1
2,428,9,4.73,0,2194.604,23.1435,1.2841,1.1123,1391.0941,207.5852,228.6583,1.4634,1.6119,1
2,429,9,4.73,0,2194.8595,23.1444,1.2841,1.1123,1391.0544,207.585,228.6586,1.4634,1.612,1
2,430,9,4.73,0,2195.1145,23.1453,1.2841,1.1124,1391.015,207.5849,228.6589,1.4635,1.612,1
2,431,9,4.73,0,2195.3689,23.1463,1.2841,1.1124,1390.9757,207.5847,228.6592,1.4635,1.6121,1
2,432,9,4.73,0,2195.6228,23.1472,1.2841,1.1124,1390.9367,207.5845,228.6595,1.4636,1.6121,1
2,433,9,4.73,0,2195.8761,23.1481,1.2841,1.1124,1390.8979,207.5843,228.6598,1.4636,1.6122,1
2,434,9,4.73,0,2196.129,23.149,1.284,1.1124,1390.8593,207.5841,228.6601,1.4636,1.6122,1
2,435,9,4.73,0,2196.3812,23.1499,1.284,1.1124,1390.8209,207.5839,228.6604,1.4637,1.6123,1
2,436,9,4.73,0,2196.633,23.1508,1.284,1.1124,1390.7827,207.5837,228.6607,1.4637,1.6123,1
2,437,9,4.73,0,2196.8842,23.1517,1.284,1.1124,1390.7447,207.5835,228.661,1.4637,1.6124,1
2,438,9,4.73,0,2197.1349,23.1526,1.284,1.1124,1390.7069,207.5834,228.6613,1.4638,1.6124,1
2,439,9,4.73,0,2197.3851,23.1535,1.284,1.1124,1390.6693,207.5832,228.6616,1.4638,1.6125,1
2,440,9,4.73,0,2197.6347,23.1544,1.284,1.1124,1390.6319,207.583,228.6619,1.4639,1.6125,1
2,441,9,4.73,0,2197.8839,23.1552,1.284,1.1124,1390.5948,207.5828,228.6622,1.4639,1.6126,1
2,442,9,4.73,0,2198.1325,23.1561,1.284,1.1125,1390.5578,207.5826,228.6625,1.4639,1.6126,1
2,443,9,4.73,0,2198.3806,23.157,1.284,1.1125,1390.521,207.5824,228.6628,1.464,1.6126,1
2,444,9,4.73,0,2198.6281,23.1579,1.2839,1.1125,1390.4844,207.5822,228.6631,1.464,1.6127,1
2,445,9,4.73,0,2198.8752,23.1588,1.2839,1.1125,1390.448,207.5821,228.6634,1.464,1.6127,1
2,446,9,4.73,0,2199.1218,23.1597,1.2839,1.1125,1390.4118,207.5819,228.6637,1.4641,1.6128,1
2,447,9,4.73,0,2199.3678,23.1606,1.2839,1.1125,1390.3758,207.5817,228.664,1.4641,1.6128,1
2,448,9,4.73,0,2199.6134,23.1614,1.2839,1.1125,1390.3399,207.5815,228.6643,1.4642,1.6129,1
2,449,9,4.73,0,2199.8584,23.1623,1.2839,1.1125,1390.3043,207.5813,228.6646,1.4642,1.6129,1
2,450,9,4.73,0,2200.103,23.1632,1.2839,1.1125,1390.2689,207.5811,228.6649,1.4642,1.613,1
2,451,9,4.73,0,2200.3471,23.1641,1.2839,1.1125,1390.2336,207.5809,228.6652,1.4643,1.613,1
2,452,9,4.73,0,2200.5906,23.1649,1.2839,1.1125,1390.1985,207.5808,228.6655,1.4643,1.613,1
2,453,9,4.73,0,2200.8337,23.1658,1.2839,1.1125,1390.1636,207.5806,228.6658,1.4643,1.6131,1
2,454,9,4.73,0,2201.0763,23.1667,1.2839,1.1125,1390.1289,207.5804,228.6661,1.4644,1.6131,1
2,455,9,4.73,0,2201.3183,23.1676,1.2838,1.1126,1390.0944,207.5802,228.6664,1.4644,1.6132,1
2,456,9,4.73,0,2201.5599,23.1684,1.2838,1.1126,1390.0601,207.58,228.6667,1.4644,1.6132,1
2,457,9,4.73,0,2201.8011,23.1693,1.2838,1.1126,1390.026,207.5798,228.667,1.4645,1.6132,1
2,458,9,4.73,0,2202.0417,23.1702,1.2838,1.1126,1389.992,207.5797,228.6673,1.4645,1.6133,1
2,459,9,4.73,0,2202.2818,23.171,1.2838,1.1126,1389.9582,207.5795,228.6676,1.4645,1.6133,1
2,460,9,4.73,0,2202.5215,23.1719,1.2838,1.1126,1389.9246,207.5793,228.6679,1.4646,1.6134,1
2,461,9,4.73,0,2202.7607,23.1727,1.2838,1.1126,1389.8912,207.5791,228.6682,1.4646,1.6134,1
2,462,9,4.73,0,2202.9994,23.1736,1.2838,1.1126,1389.8579,207.5789,228.6685,1.4646,1.6135,1
2,463,9,4.73,0,2203.2377,23.1745,1.2838,1.1126,1389.8248,207.5787,228.6688,1.4647,1.6135,1
2,464,9,4.73,0,2203.4754,23.1753,1.2838,1.1126,1389.7919,207.5786,228.6691,1.4647,1.6135,1
2,465,9,4.73,0,2203.7127,23.1762,1.2838,1.1126,1389.7592,207.5784,228.6694,1.4647,1.6136,1
2,466,9,4.73,0,2203.9496,23.177,1.2837,1.1126,1389.7267,207.5782,228.6697,1.4648,1.6136,1
2,467,9,4.73,0,2204.1859,23.1779,1.2837,1.1126,1389.6943,207.578,228.67,1.4648,1.6137,1
2,468,9,4.73,0,2204.4218,23.1787,1.2837,1.1127,1389.6621,207.5778,228.6703,1.4648,1.6137,1
2,469,9,4.73,0,2204.6573,23.1796,1.2837,1.1127,1389.63,207.5777,228.6705,1.4649,1.6137,1
2,470,9,4.73,0,2204.8923,23.1804,1.2837,1.1127,1389.5982,207.5775,228.6708,1.4649,1.6138,1
