Time (s), Liquid Mass (kg)  ,  Chamber Pressure (PSI), Thrust (N), Mass Flow Rate (kg/s)
13.2,13.6685,350,1875.71,0.476051
13.3,13.6209,350,1875.71,0.476051
13.4,13.5733,350,1875.71,0.476051
13.5,13.5257,350,1875.71,0.476051
13.6,13.4781,350,1875.71,0.476051
13.7,13.4305,350,1875.71,0.476051
13.8,13.3829,350,1875.71,0.476051
13.9,13.3353,350,1875.71,0.476051
14,13.2877,350,1875.71,0.476051
14.1,13.2401,350,1875.71,0.476051
14.2,13.1925,350,1875.71,0.476051
14.3,13.1449,350,1875.71,0.476051
14.4,13.0973,350,1875.71,0.476051
14.5,13.0497,350,1875.71,0.476051
14.6,13.002,350,1875.71,0.476051
14.7,12.9544,350,1875.71,0.476051
14.8,12.9068,350,1875.71,0.476051
14.9,12.8592,350,1875.71,0.476051
15,12.8116,350,1875.71,0.476051
15.1,12.764,350,1875.71,0.476051
15.2,12.7164,350,1875.71,0.476051
15.3,12.6688,350,1875.71,0.476051
15.4,12.6212,350,1875.71,0.476051
15.5,12.5736,350,1875.71,0.476051
15.6,12.526,350,1875.71,0.476051
15.7,12.4784,350,1875.71,0.476051
15.8,12.4308,350,1875.71,0.476051
15.9,12.3832,350,1875.71,0.476051
16,12.3356,350,1875.71,0.476051
16.1,12.288,350,1875.71,0.476051
16.2,12.2404,350,1875.71,0.476051
16.3,12.1928,350,1875.71,0.476051
16.4,12.1452,350,1875.71,0.476051
16.5,12.0976,350,1875.71,0.476051
16.6,12.0499,350,1875.71,0.476051
16.7,12.0023,350,1875.71,0.476051
16.8,11.9547,350,1875.71,0.476051
16.9,11.9071,350,1875.71,0.476051
17,11.8595,350,1875.71,0.476051
17.1,11.8119,350,1875.71,0.476051
17.2,11.7643,350,1875.71,0.476051
17.3,11.7167,350,1875.71,0.476051
17.4,11.6691,350,1875.71,0.476051
17.5,11.6215,350,1875.71,0.476051
17.6,11.5739,350,1875.71,0.476051
17.7,11.5263,350,1875.71,0.476051
17.8,11.4787,350,1875.71,0.476051
17.9,11.4311,350,1875.71,0.476051
18,11.3835,350,1875.71,0.476051
18.1,11.3359,350,1875.71,0.476051
18.2,11.2883,350,1875.71,0.476051
18.3,11.2407,350,1875.71,0.476051
18.4,11.1931,350,1875.71,0.476051
18.5,11.1454,350,1875.71,0.476051
18.6,11.0978,350,1875.71,0.476051
18.7,11.0502,350,1875.71,0.476051
18.8,11.0026,350,1875.71,0.476051
18.9,10.955,350,1875.71,0.476051
19,10.9074,350,1875.71,0.476051
19.1,10.8598,350,1875.71,0.476051
19.2,10.8122,350,1875.71,0.476051
19.3,10.7646,350,1875.71,0.476051
19.4,10.717,350,1875.71,0.476051
19.5,10.6694,350,1875.71,0.476051
19.6,10.6218,350,1875.71,0.476051
19.7,10.5742,350,1875.71,0.476051
19.8,10.5266,350,1875.71,0.476051
19.9,10.479,350,1875.71,0.476051
20,10.4314,350,1875.71,0.476051
20.1,10.3838,350,1875.71,0.476051
20.2,10.3362,350,1875.71,0.476051
20.3,10.2886,350,1875.71,0.476051
20.4,10.241,350,1875.71,0.476051
20.5,10.1933,350,1875.71,0.476051
20.6,10.1457,350,1875.71,0.476051
20.7,10.0981,350,1875.71,0.476051
20.8,10.0505,350,1875.71,0.476051
20.9,10.0029,350,1875.71,0.476051
21,9.95532,350,1875.71,0.476051
21.1,9.90772,350,1875.71,0.476051
21.2,9.86011,350,1875.71,0.476051
21.3,9.81251,350,1875.71,0.476051
21.4,9.7649,350,1875.71,0.476051
21.5,9.7173,350,1875.71,0.476051
21.6,9.66969,350,1875.71,0.476051
21.7,9.62209,350,1875.71,0.476051
21.8,9.57448,350,1875.71,0.476051
21.9,9.52688,350,1875.71,0.476051
22,9.47927,350,1875.71,0.476051
22.1,9.43167,350,1875.71,0.476051
22.2,9.38406,350,1875.71,0.476051
22.3,9.33646,350,1875.71,0.476051
22.4,9.28885,350,1875.71,0.476051
22.5,9.24124,350,1875.71,0.476051
22.6,9.19364,350,1875.71,0.476051
22.7,9.14603,350,1875.71,0.476051
22.8,9.09843,350,1875.71,0.476051
22.9,9.05082,350,1875.71,0.476051
23,9.00322,350,1875.71,0.476051
23.1,8.95561,350,1875.71,0.476051
23.2,8.90801,350,1875.71,0.476051
23.3,8.8604,350,1875.71,0.476051
23.4,8.8128,350,1875.71,0.476051
23.5,8.76519,350,1875.71,0.476051
23.6,8.71759,350,1875.71,0.476051
23.7,8.66998,350,1875.71,0.476051
23.8,8.62238,350,1875.71,0.476051
23.9,8.57477,350,1875.71,0.476051
24,8.52717,350,1875.71,0.476051
24.1,8.47956,350,1875.71,0.476051
24.2,8.43196,350,1875.71,0.476051
24.3,8.38435,350,1875.71,0.476051
24.4,8.33675,350,1875.71,0.476051
24.5,8.28914,350,1875.71,0.476051
24.6,8.24154,350,1875.71,0.476051
24.7,8.19393,350,1875.71,0.476051
24.8,8.14633,350,1875.71,0.476051
24.9,8.09872,350,1875.71,0.476051
25,8.05112,350,1875.71,0.476051
25.1,8.00351,350,1875.71,0.476051
25.2,7.95591,350,1875.71,0.476051
25.3,7.9083,350,1875.71,0.476051
25.4,7.8607,350,1875.71,0.476051
25.5,7.81309,350,1875.71,0.476051
25.6,7.76549,350,1875.71,0.476051
25.7,7.71788,350,1875.71,0.476051
25.8,7.67028,350,1875.71,0.476051
25.9,7.62267,350,1875.71,0.476051
26,7.57507,350,1875.71,0.476051
26.1,7.52746,350,1875.71,0.476051
26.2,7.47986,350,1875.71,0.476051
26.3,7.43225,350,1875.71,0.476051
26.4,7.38465,350,1875.71,0.476051
26.5,7.33704,350,1875.71,0.476051
26.6,7.28944,350,1875.71,0.476051
26.7,7.24183,350,1875.71,0.476051
26.8,7.19423,350,1875.71,0.476051
26.9,7.14662,350,1875.71,0.476051
27,7.09901,350,1875.71,0.476051
27.1,7.05141,350,1875.71,0.476051
27.2,7.0038,350,1875.71,0.476051
27.3,6.9562,350,1875.71,0.476051
27.4,6.90859,350,1875.71,0.476051
27.5,6.86099,350,1875.71,0.476051
27.6,6.81338,350,1875.71,0.476051
27.7,6.76578,350,1875.71,0.476051
27.8,6.71817,350,1875.71,0.476051
27.9,6.67057,350,1875.71,0.476051
28,6.62296,350,1875.71,0.476051
28.1,6.57536,350,1875.71,0.476051
28.2,6.52775,350,1875.71,0.476051
28.3,6.48015,350,1875.71,0.476051
28.4,6.43254,350,1875.71,0.476051
28.5,6.38494,350,1875.71,0.476051
28.6,6.33733,350,1875.71,0.476051
28.7,6.28973,350,1875.71,0.476051
28.8,6.24212,350,1875.71,0.476051
28.9,6.19452,350,1875.71,0.476051
29,6.14691,350,1875.71,0.476051
29.1,6.09931,350,1875.71,0.476051
29.2,6.0517,350,1875.71,0.476051
29.3,6.0041,350,1875.71,0.476051
29.4,5.95649,350,1875.71,0.476051
29.5,5.90889,350,1875.71,0.476051
29.6,5.86128,350,1875.71,0.476051
29.7,5.81368,350,1875.71,0.476051
29.8,5.76607,350,1875.71,0.476051
29.9,5.71847,350,1875.71,0.476051
30,5.67086,350,1875.71,0.476051
30.1,5.62326,350,1875.71,0.476051
30.2,5.57565,350,1875.71,0.476051
30.3,5.52805,350,1875.71,0.476051
30.4,5.48044,350,1875.71,0.476051
30.5,5.43284,350,1875.71,0.476051
30.6,5.38523,350,1875.71,0.476051
30.7,5.33763,350,1875.71,0.476051
30.8,5.29002,350,1875.71,0.476051
30.9,5.24242,350,1875.71,0.476051
31,5.19481,350,1875.71,0.476051
